黒糖タピオカミルク|もちもちの黒糖タピオカに、阿蘇の牛乳、自家製シロップ、特製黒蜜を合わせました。少量ずつ丁寧に仕込むタピオカの食感と、ミルクのコクをお楽しみください。
黒糖タピオカ練乳いちごミルク|苺の甘酸っぱさに、阿蘇の牛乳と国産練乳のコクを重ねました。隠し味の雪塩が、苺の甘みとミルクの風味を引き立てます。
濃厚マンゴーヨーグルトスムージー|完熟マンゴーの濃厚な甘みと、ヨーグルトの爽やかな酸味を合わせたスムージー。果肉感を楽しめる、ご褒美の一杯です。
アッサム紅茶タピオカミルクティー|店内で丁寧に抽出したアッサム紅茶に、コクのあるミルクを合わせました。芳醇な香りとほどよい渋み、タピオカの食感をお楽しみください。
ジャスミンタピオカミルクティー|通常の3倍量の茶葉を使い、店内で丁寧に抽出したジャスミン茶のミルクティー。華やかな香りに、ミルクのまろやかさとタピオカの食感が重なります。
黒糖タピオカ国産抹茶ラテ|福岡県八女産の国産抹茶100%を使用。抹茶の芳醇な香りとほろ苦さに、自家製シロップのコクともちもちの黒糖タピオカを合わせました。
黒糖タピオカ塩キャラメルミルク|フランス産の岩塩がキャラメルの香ばしさを引き立てるミルクドリンク。隠し味のホワイトチョコが、まろやかなコクを添えます。
濃厚黒ごまチーズタピオカフラッペ|香り高い黒ごまのフラッペに、クリームチーズを使った特製チーズフォームを重ねました。濃厚なコクとほのかな塩味、タピオカの食感を楽しめます。
オレオタピオカフラッペ|砕いたオレオのザクザク感と、タピオカのもちもち感を楽しめるフラッペ。濃厚な味わいの、スイーツ感覚で楽しめる一杯です。
特製ミックスジューススムージー|バナナ、桃、みかん、バニラカスタードを合わせた濃厚なスムージー。タピオカは入っていません。ご希望の方はカスタマイズから追加してください。
黒糖タピオカチョコミルク|オランダメーカーのカカオを使ったチョコレートソースに、ミルクと国産練乳を合わせました。チョコレートの深いコクと、黒糖タピオカの食感をお楽しみください。
