黒糖タピオカ練乳いちごミルク|Sữa dâu tây sữa đặc trân châu đường đen
アッサム紅茶|Trà đen Assam
チョコミントタピオカフラッペ|Frappe trân châu sô-cô-la bạc hà
キャラメルタピオカフラッペ|Frappe trân châu caramel
バニラタピオカフラッペ|Frappe trân châu vani
濃厚マンゴーヨーグルトスムージー|Sinh tố xoài sữa chua đậm vị
ピーチクリーミー杏仁|Đào kem hạnh nhân
抹茶タピオカフラッペ|Frappe trân châu matcha
緑茶|Trà xanh
抹茶バナナスムージー|Sinh tố chuối matcha
カフェアメリカーノ|Cà phê Americano
ジャスミン茶|Trà lài
ルイボス茶|Trà rooibos
蜂蜜柚子茶|Trà yuzu mật ong
プアール茶|Trà Phổ Nhĩ
ピーチ紅茶|Trà đen đào
蜂蜜柚子ジャスミン茶|Trà lài yuzu mật ong
蜂蜜柚子アッサム茶|Trà Assam yuzu mật ong
カフェラテ|Cà phê latte
タピオカカフェラテ|Cà phê latte trân châu
バナナヨーグルトスムージー|Sinh tố chuối sữa chua
アッサム紅茶タピオカミルクティー|Trà sữa Assam trân châu
タピオカコーヒー|Cà phê trân châu
ジャスミンタピオカミルクティー|Trà sữa lài trân châu
きなこ豆乳くろごま|Sữa đậu nành mè đen và bột đậu nành rang
黒糖タピオカ国産抹茶ラテ|Latte matcha Nhật trân châu đường đen
黒糖タピオカオレオミルク|Sữa Oreo trân châu đường đen
黒糖タピオカミルク|Sữa trân châu đường đen
濃厚ピーナッツタピオカミルク|Sữa đậu phộng trân châu đậm vị
黒糖タピオカ塩キャラメルミルク|Sữa caramel muối trân châu đường đen
ルイボスタピオカティー|Trà rooibos trân châu
バナナタピオカフラッペ|Frappe trân châu chuối
濃厚黒ごまチーズタピオカフラッペ|Frappe trân châu mè đen phô mai đậm vị
グリーンタピオカティー|Trà xanh trân châu
グリーンタピオカミルクティー|Trà sữa xanh trân châu
ルイボスタピオカチーズティー|Trà rooibos kem phô mai trân châu
オレオタピオカフラッペ|Frappe trân châu Oreo
特製ミックスジューススムージー|Sinh tố trái cây hỗn hợp đặc biệt
アッサム紅茶タピオカチーズティー|Trà đen Assam kem phô mai trân châu
グリーンタピオカチーズティー|Trà xanh kem phô mai trân châu
濃厚黒ごまタピオカミルク|Sữa mè đen trân châu đậm vị
黒糖タピオカほうじ茶ラテ|Latte hojicha trân châu đường đen
黒糖タピオカチョコミルク|Sữa sô-cô-la trân châu đường đen
アッサム紅茶タピオカティー|Trà đen Assam trân châu
ジャスミンタピオカチーズティー|Trà lài kem phô mai trân châu
蜂蜜柚子緑茶|Trà xanh yuzu mật ong
チョコタピオカフラッペ|Frappe trân châu sô-cô-la
バナナ豆乳黒ごまスムージー|Sinh tố chuối sữa đậu nành mè đen
ジャスミンタピオカティー|Trà lài trân châu
ICE|Đá
HOT|Nóng
S スモール 360ml|S nhỏ 360ml
R レギュラー 500ml|R vừa 500ml
L ラージ 700ml|L lớn 700ml
ふつう|Bình thường
多め|Nhiều đường
少なめ|Ít đường
ゼロ|Không đường
なし|Không
プレミアム版|Phiên bản cao cấp
デカフェ|Loại bỏ caffeine
オレオ追加|Thêm Oreo
ホイップ追加|Thêm kem tươi
チョコチップ追加|Thêm hạt sô-cô-la
チーズフォーム追加|Thêm kem phô mai
